Year,Sex,AgeGroup,OffenceDivision,VictimReports
2013,Males,50-59,C Other offences,15
2013,Males,60-69,A Crimes against the person,892
2013,Males,60-69,B Property and deception offences,7525
2013,Males,60-69,C Other offences,7
2013,Males,70+,A Crimes against the person,304
2013,Males,70+,B Property and deception offences,3878
2013,Males,70+,C Other offences,5
2013,People,00-19,A Crimes against the person,11204
2013,People,00-19,B Property and deception offences,6730
2013,People,00-19,C Other offences,20
2013,People,20-29,A Crimes against the person,14024
2013,People,20-29,B Property and deception offences,34690
2013,People,20-29,C Other offences,59
2013,People,30-39,A Crimes against the person,10607
2013,People,30-39,B Property and deception offences,31654
2013,People,30-39,C Other offences,54
2013,People,40-49,A Crimes against the person,8323
2013,People,40-49,B Property and deception offences,29001
2013,People,40-49,C Other offences,53
2013,People,50-59,A Crimes against the person,4068
2013,People,50-59,B Property and deception offences,20867
2013,People,50-59,C Other offences,32
2013,People,60-69,A Crimes against the person,1529
2013,People,60-69,B Property and deception offences,12009
2013,People,60-69,C Other offences,13
2013,People,70+,A Crimes against the person,641
2013,People,70+,B Property and deception offences,6979
2013,People,70+,C Other offences,13
2012,Females,00-19,A Crimes against the person,5711
2012,Females,00-19,B Property and deception offences,3420
2012,Females,00-19,C Other offences,34
2012,Females,20-29,A Crimes against the person,6558
2012,Females,20-29,B Property and deception offences,16051
2012,Females,20-29,C Other offences,49
2012,Females,30-39,A Crimes against the person,4921
2012,Females,30-39,B Property and deception offences,13789
2012,Females,30-39,C Other offences,36
2012,Females,40-49,A Crimes against the person,3635
2012,Females,40-49,B Property and deception offences,12608
2012,Females,40-49,C Other offences,28
2012,Females,50-59,A Crimes against the person,1478
2012,Females,50-59,B Property and deception offences,8475
2012,Females,50-59,C Other offences,17
2012,Females,60-69,A Crimes against the person,526
2012,Females,60-69,B Property and deception offences,4436
2012,Females,60-69,C Other offences,6
2012,Females,70+,A Crimes against the person,296
2012,Females,70+,B Property and deception offences,3040
2012,Females,70+,C Other offences,5
2012,Males,00-19,A Crimes against the person,4873
2012,Males,00-19,B Property and deception offences,3858
2012,Males,00-19,C Other offences,15
2012,Males,20-29,A Crimes against the person,6527
2012,Males,20-29,B Property and deception offences,20337
2012,Males,20-29,C Other offences,40
2012,Males,30-39,A Crimes against the person,4446
2012,Males,30-39,B Property and deception offences,19137
2012,Males,30-39,C Other offences,28
2012,Males,40-49,A Crimes against the person,3583
2012,Males,40-49,B Property and deception offences,17378
2012,Males,40-49,C Other offences,31
2012,Males,50-59,A Crimes against the person,1853
2012,Males,50-59,B Property and deception offences,12818
2012,Males,50-59,C Other offences,18
2012,Males,60-69,A Crimes against the person,770
2012,Males,60-69,B Property and deception offences,7532
2012,Males,60-69,C Other offences,19
2012,Males,70+,A Crimes against the person,266
2012,Males,70+,B Property and deception offences,3867
2012,Males,70+,C Other offences,4
2012,People,00-19,A Crimes against the person,10606
2012,People,00-19,B Property and deception offences,7292
2012,People,00-19,C Other offences,49
2012,People,20-29,A Crimes against the person,13119
2012,People,20-29,B Property and deception offences,36542
2012,People,20-29,C Other offences,89
2012,People,30-39,A Crimes against the person,9382
2012,People,30-39,B Property and deception offences,33078
2012,People,30-39,C Other offences,65
2012,People,40-49,A Crimes against the person,7243
2012,People,40-49,B Property and deception offences,30189
2012,People,40-49,C Other offences,59
2012,People,50-59,A Crimes against the person,3345
2012,People,50-59,B Property and deception offences,21475
2012,People,50-59,C Other offences,35
2012,People,60-69,A Crimes against the person,1303
2012,People,60-69,B Property and deception offences,12092
2012,People,60-69,C Other offences,25
2012,People,70+,A Crimes against the person,570
2012,People,70+,B Property and deception offences,6998
2012,People,70+,C Other offences,9
2011,Females,00-19,A Crimes against the person,4859
2011,Females,00-19,B Property and deception offences,3487
2011,Females,00-19,C Other offences,46
2011,Females,20-29,A Crimes against the person,5282
2011,Females,20-29,B Property and deception offences,15959
2011,Females,20-29,C Other offences,56
2011,Females,30-39,A Crimes against the person,4050
2011,Females,30-39,B Property and deception offences,13351
2011,Females,30-39,C Other offences,47
2011,Females,40-49,A Crimes against the person,2958
2011,Females,40-49,B Property and deception offences,12248
2011,Females,40-49,C Other offences,42
2011,Females,50-59,A Crimes against the person,1197
2011,Females,50-59,B Property and deception offences,7917
2011,Females,50-59,C Other offences,23
2011,Females,60-69,A Crimes against the person,445
2011,Females,60-69,B Property and deception offences,4107
2011,Females,60-69,C Other offences,13
2011,Females,70+,A Crimes against the person,275
2011,Females,70+,B Property and deception offences,2900
2011,Females,70+,C Other offences,8
2011,Males,00-19,A Crimes against the person,4458
2011,Males,00-19,B Property and deception offences,4272
2011,Males,00-19,C Other offences,27
2011,Males,20-29,A Crimes against the person,6340
2011,Males,20-29,B Property and deception offences,20410
2011,Males,20-29,C Other offences,32
2011,Males,30-39,A Crimes against the person,4153
2011,Males,30-39,B Property and deception offences,18293
2011,Males,30-39,C Other offences,47
2011,Males,40-49,A Crimes against the person,3230
2011,Males,40-49,B Property and deception offences,16546
2011,Males,40-49,C Other offences,49
2011,Males,50-59,A Crimes against the person,1703
2011,Males,50-59,B Property and deception offences,12209
2011,Males,50-59,C Other offences,16
2011,Males,60-69,A Crimes against the person,616
2011,Males,60-69,B Property and deception offences,6851
2011,Males,60-69,C Other offences,10
2011,Males,70+,A Crimes against the person,253
2011,Males,70+,B Property and deception offences,3581
2011,Males,70+,C Other offences,5
2011,People,00-19,A Crimes against the person,9350
2011,People,00-19,B Property and deception offences,7775
2011,People,00-19,C Other offences,73
2011,People,20-29,A Crimes against the person,11658
2011,People,20-29,B Property and deception offences,36535
2011,People,20-29,C Other offences,90
2011,People,30-39,A Crimes against the person,8225
2011,People,30-39,B Property and deception offences,31794
2011,People,30-39,C Other offences,94
2011,People,40-49,A Crimes against the person,6212
2011,People,40-49,B Property and deception offences,29009
2011,People,40-49,C Other offences,92
2011,People,50-59,A Crimes against the person,2916
2011,People,50-59,B Property and deception offences,20305
2011,People,50-59,C Other offences,41
2011,People,60-69,A Crimes against the person,1073
2011,People,60-69,B Property and deception offences,11079
2011,People,60-69,C Other offences,23
2011,People,70+,A Crimes against the person,536
2011,People,70+,B Property and deception offences,6583
2011,People,70+,C Other offences,13
