Year,PoliceRegion,LocalGovernmentArea,Victim Reports,"Rateper100,000population"
2016,4 Western,MOORABOOL,1028,3146.425073
2016,4 Western,MOUNT ALEXANDER,505,2644.394407
2016,4 Western,MOYNE,269,1607.217542
2016,4 Western,NORTHERN GRAMPIANS,465,4019.014693
2016,4 Western,PYRENEES,258,3526.517223
2016,4 Western,QUEENSCLIFFE,104,3550.699898
2016,4 Western,SOUTHERN GRAMPIANS,504,3125.969112
2016,4 Western,SURF COAST,765,2511.078287
2016,4 Western,SWAN HILL,835,3995.980092
2016,4 Western,WARRNAMBOOL,1162,3393.493371
2016,4 Western,WEST WIMMERA,64,1625.603251
2016,4 Western,YARRIAMBIACK,223,3307.133323
2015,1 North West Metro,BANYULE,3739,2965.389252
2015,1 North West Metro,BRIMBANK,8835,4398.58608
2015,1 North West Metro,DAREBIN,7143,4700.146078
2015,1 North West Metro,HOBSONS BAY,3299,3598.621201
2015,1 North West Metro,HUME,8447,4262.37284
2015,1 North West Metro,MARIBYRNONG,3841,4530.389347
2015,1 North West Metro,MELBOURNE,11063,8082.734233
2015,1 North West Metro,MELTON,4955,3672.6828
2015,1 North West Metro,MOONEE VALLEY,4389,3650.47284
2015,1 North West Metro,MORELAND,7529,4485.018169
2015,1 North West Metro,NILLUMBIK,990,1554.770318
2015,1 North West Metro,WHITTLESEA,6176,3137.46209
2015,1 North West Metro,WYNDHAM,6377,2982.484858
2015,1 North West Metro,YARRA,5843,6497.781435
2015,2 Eastern,ALPINE,141,1134.44364
2015,2 Eastern,BASS COAST,1112,3413.555992
2015,2 Eastern,BAW BAW,1254,2621.401844
2015,2 Eastern,BENALLA,399,2865.761689
2015,2 Eastern,BOROONDARA,3811,2180.792318
2015,2 Eastern,EAST GIPPSLAND,1794,3998.395293
2015,2 Eastern,GREATER SHEPPARTON,3078,4772.907007
2015,2 Eastern,INDIGO,206,1293.807311
2015,2 Eastern,KNOX,4007,2524.889729
2015,2 Eastern,LATROBE,4774,6428.244419
2015,2 Eastern,MANNINGHAM,2120,1755.184833
2015,2 Eastern,MANSFIELD,172,2016.412661
2015,2 Eastern,MAROONDAH,2924,2587.084045
2015,2 Eastern,MITCHELL,1398,3472.084244
2015,2 Eastern,MOIRA,635,2168.123464
2015,2 Eastern,MONASH,4676,2471.79845
2015,2 Eastern,MURRINDINDI,299,2159.156557
2015,2 Eastern,SOUTH GIPPSLAND,530,1841.492651
2015,2 Eastern,STRATHBOGIE,179,1759.213759
2015,2 Eastern,TOWONG,85,1415.487094
2015,2 Eastern,WANGARATTA,728,2586.7889
2015,2 Eastern,WELLINGTON,1764,4085.981655
2015,2 Eastern,WHITEHORSE,3789,2273.231781
2015,2 Eastern,WODONGA,1429,3643.27053
2015,2 Eastern,YARRA RANGES,2886,1881.466318
2015,3 Southern Metro,BAYSIDE,2306,2277.126042
2015,3 Southern Metro,CARDINIA,2505,2714.034974
2015,3 Southern Metro,CASEY,9163,3059.14639
2015,3 Southern Metro,FRANKSTON,5180,3759.343929
2015,3 Southern Metro,GLEN EIRA,3193,2188.125326
2015,3 Southern Metro,GREATER DANDENONG,6490,4158.630279
2015,3 Southern Metro,KINGSTON,3947,2526.177005
2015,3 Southern Metro,MORNINGTON PENINSULA,4453,2803.608867
2015,3 Southern Metro,PORT PHILLIP,5990,5630.704731
2015,3 Southern Metro,STONNINGTON,4587,4246.121376
2015,4 Western,ARARAT,487,4182.411542
2015,4 Western,BALLARAT,5184,5108.446082
2015,4 Western,BULOKE,117,1855.375833
2015,4 Western,CAMPASPE,1289,3443.853696
2015,4 Western,CENTRAL GOLDFIELDS,439,3389.96139
2015,4 Western,COLAC-OTWAY,680,3203.014602
2015,4 Western,CORANGAMITE,286,1757.404449
2015,4 Western,GANNAWARRA,203,1926.727411
2015,4 Western,GLENELG,763,3868.775986
2015,4 Western,GOLDEN PLAINS,349,1631.756125
2015,4 Western,GREATER BENDIGO,3282,2986.133857
2015,4 Western,GREATER GEELONG,9148,3927.427595
2015,4 Western,HEPBURN,363,2367.288379
2015,4 Western,HINDMARSH,82,1411.84573
2015,4 Western,HORSHAM,1034,5224.333064
2015,4 Western,LODDON,170,2257.336343
2015,4 Western,MACEDON RANGES,812,1751.018912
2015,4 Western,MILDURA,2633,4861.880493
2015,4 Western,MOORABOOL,931,2932.468187
2015,4 Western,MOUNT ALEXANDER,348,1851.654783
2015,4 Western,MOYNE,295,1778.072449
2015,4 Western,NORTHERN GRAMPIANS,390,3349.36448
2015,4 Western,PYRENEES,254,3538.097228
2015,4 Western,QUEENSCLIFFE,78,2659.393113
2015,4 Western,SOUTHERN GRAMPIANS,444,2747.184754
2015,4 Western,SURF COAST,647,2183.966245
2015,4 Western,SWAN HILL,770,3685.444886
2015,4 Western,WARRNAMBOOL,1121,3296.574033
2015,4 Western,WEST WIMMERA,47,1182.687469
2015,4 Western,YARRIAMBIACK,133,1948.432464
2014,1 North West Metro,BANYULE,4178,3339.541353
2014,1 North West Metro,BRIMBANK,8634,4350.323478
2014,1 North West Metro,DAREBIN,7413,4958.163613
2014,1 North West Metro,HOBSONS BAY,3329,3681.829744
2014,1 North West Metro,HUME,7832,4094.563933
2014,1 North West Metro,MARIBYRNONG,4037,4895.528904
2014,1 North West Metro,MELBOURNE,10854,8481.344013
2014,1 North West Metro,MELTON,4881,3774.679257
2014,1 North West Metro,MOONEE VALLEY,3972,3372.876031
2014,1 North West Metro,MORELAND,7075,4311.421764
2014,1 North West Metro,NILLUMBIK,948,1494.49025
2014,1 North West Metro,WHITTLESEA,6470,3443.339241
2014,1 North West Metro,WYNDHAM,5945,2950.196514
2014,1 North West Metro,YARRA,5894,6757.004632
2014,2 Eastern,ALPINE,163,1319.303926
2014,2 Eastern,BASS COAST,1372,4298.649622
2014,2 Eastern,BAW BAW,1302,2791.355801
2014,2 Eastern,BENALLA,520,3741.545546
2014,2 Eastern,BOROONDARA,4227,2448.164022
2014,2 Eastern,EAST GIPPSLAND,1732,3911.737471
2014,2 Eastern,GREATER SHEPPARTON,2954,4621.474053
2014,2 Eastern,INDIGO,190,1207.729469
2014,2 Eastern,KNOX,4368,2774.495979
2014,2 Eastern,LATROBE,4537,6119.998921
2014,2 Eastern,MANNINGHAM,2024,1694.617246
2014,2 Eastern,MANSFIELD,197,2346.634902
2014,2 Eastern,MAROONDAH,3172,2846.860107
2014,2 Eastern,MITCHELL,1246,3188.005322
2014,2 Eastern,MOIRA,640,2199.312715
2014,2 Eastern,MONASH,4577,2458.769809
2014,2 Eastern,MURRINDINDI,314,2294.147731
2014,2 Eastern,SOUTH GIPPSLAND,544,1907.366502
2014,2 Eastern,STRATHBOGIE,232,2315.831503
2014,2 Eastern,TOWONG,143,2390.504848
2014,2 Eastern,WANGARATTA,809,2903.596296
2014,2 Eastern,WELLINGTON,1754,4084.008569
2014,2 Eastern,WHITEHORSE,3920,2385.589094
2014,2 Eastern,WODONGA,1459,3802.548933
2014,2 Eastern,YARRA RANGES,3168,2084.6494
2014,3 Southern Metro,BAYSIDE,2292,2296.662224
2014,3 Southern Metro,CARDINIA,2541,2885.204951
2014,3 Southern Metro,CASEY,8009,2781.511233
